Source,Target,Label,Publication_name
220/9805,55/4449,14835,"A methodology for detecting relevant single nucleotide polymorphism in prostate cancer with multivariate adaptive regression splines and backpropagation artificial neural networks."
178/9445,55/4449,14835,"A methodology for detecting relevant single nucleotide polymorphism in prostate cancer with multivariate adaptive regression splines and backpropagation artificial neural networks."
93/7511,232/1661,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
93/7511,232/2203,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
93/7511,88/7595,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
93/7511,132/1691,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
232/1661,232/2203,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
232/1661,88/7595,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
232/1661,132/1691,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
232/2203,88/7595,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
232/2203,132/1691,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
88/7595,132/1691,14840,"Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy."
189/9729,256/7384,14841,"State estimation of zinc air batteries using neural networks."
189/9729,200/9618,14841,"State estimation of zinc air batteries using neural networks."
189/9729,200/9454,14841,"State estimation of zinc air batteries using neural networks."
189/9729,189/9779,14841,"State estimation of zinc air batteries using neural networks."
256/7384,200/9618,14841,"State estimation of zinc air batteries using neural networks."
256/7384,200/9454,14841,"State estimation of zinc air batteries using neural networks."
256/7384,189/9779,14841,"State estimation of zinc air batteries using neural networks."
200/9618,200/9454,14841,"State estimation of zinc air batteries using neural networks."
200/9618,189/9779,14841,"State estimation of zinc air batteries using neural networks."
200/9454,189/9779,14841,"State estimation of zinc air batteries using neural networks."
97/9523,97/9523,14843,"A survey of FPGA-based accelerators for convolutional neural networks."
216/3226,242/8727,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
216/3226,193/6592,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
216/3226,256/3820,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
216/3226,256/3829,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
242/8727,193/6592,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
242/8727,256/3820,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
242/8727,256/3829,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
193/6592,256/3820,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
193/6592,256/3829,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
256/3820,256/3829,14844,"A systematic review and meta-analysis of artificial neural network application in geotechnical engineering - theory and applications."
213/0205,213/0430,14847,"Bat algorithm-based weighted Laplacian probabilistic neural network."
213/0205,257/6397,14847,"Bat algorithm-based weighted Laplacian probabilistic neural network."
